# source: https://ned.ipac.caltech.edu/
frequency,flux_density,uncertainty
3.25E+17,6.280000e-07,1.79E-07
8.19E+14,6.100000e-05
6.81E+14,7.610000e-05
5.42E+14,1.060000e-04
2.43E+14,3.130000e-04,3.89E-05
2.43E+14,2.290000e-04,4.50E-05
2.40E+14,2.780000e-04,7.79E-06
1.84E+14,3.020000e-04,1.13E-05
1.80E+14,3.530000e-04,6.66E-05
1.80E+14,4.060000e-04,9.61E-05
1.39E+14,4.480000e-04,6.11E-05
1.39E+14,2.920000e-04,1.37E-04
1.37E+14,4.630000e-04,2.18E-05
7.96E+13,9.940000e-04,8.59E-05
2.34E+13,8.000000e-03,9.00E-03
1.42E+13,5.600000e-02,6.90E-02
1.27E+13,1.590000e-02,1.60E-03
1.27E+13,1.570000e-02,7.33E-05
1.27E+13,1.510000e-02,5.87E-05
4.93E+12,1.300000e-02,4.20E-02
4.20E+12,2.430000e-02,6.50E-03
2.90E+12,2.500000e-02,3.70E-02
1.72E+12,2.700000e-02,3.90E-02
2.30E+11,1.910000e-01,2.60E-02
9.00E+10,3.270000e-01,4.60E-02
1.49E+10,1.630000e+00,1.00E-02
1.49E+10,1.630000e+00,1.00E-02
1.07E+10,2.160000e+00,6.60E-02
1.07E+10,2.300000e+00,7.00E-02
1.07E+10,2.410000e+00,6.00E-02
1.05E+10,2.160000e+00,4.50E-02
8.87E+09,2.780000e+00,1.00E-01
8.40E+09,2.440000e+00
8.35E+09,2.550000e+00,5.30E-02
5.01E+09,4.160000e+00,1.40E-01
5.00E+09,4.130000e+00,7.00E-02
5.00E+09,4.040000e+00,9.00E-02
5.00E+09,4.160000e+00,1.04E+00
5.00E+09,4.130000e+00,8.30E-01
5.00E+09,4.040000e+00
4.89E+09,1.090000e+00
4.85E+09,3.700000e+00,5.06E-01
4.85E+09,4.120000e+00,8.40E-02
4.85E+09,3.650000e+00,5.48E-01
4.78E+09,3.220000e+00
2.70E+09,6.130000e+00,3.00E-01
2.70E+09,6.180000e+00,4.00E-02
2.70E+09,6.300000e+00
2.70E+09,6.060000e+00,7.10E-02
2.70E+09,5.990000e+00,3.00E-01
2.70E+09,6.060000e+00,7.00E-02
2.70E+09,5.700000e+00,4.60E-01
2.65E+09,6.370000e+00,3.00E-02
2.64E+09,5.780000e+00,1.19E-01
1.41E+09,9.200000e+00
1.41E+09,9.130000e+00,2.50E-01
1.40E+09,9.910000e+00,2.90E-01
1.40E+09,9.500000e+00,5.00E-01
1.40E+09,9.760000e+00,2.90E-01
1.40E+09,9.200000e+00,4.60E-01
1.40E+09,8.530000e+00,1.96E-01
1.40E+09,8.600000e+00,2.58E-01
1.40E+09,8.270000e+00
9.60E+08,1.210000e+01,1.90E-01
7.50E+08,1.260000e+01,6.00E-01
7.50E+08,1.320000e+01,3.20E-01
7.50E+08,1.250000e+01,3.00E-01
7.50E+08,1.200000e+01,6.00E-01
7.50E+08,1.250000e+01,3.84E-01
6.35E+08,1.570000e+01,2.20E-01
5.80E+08,1.670000e+01,4.80E-01
4.68E+08,1.620000e+01,3.10E-01
4.08E+08,1.720000e+01
4.08E+08,1.720000e+01,7.50E-01
3.65E+08,2.070000e+01,2.20E-01
3.65E+08,1.690000e+01,1.32E+00
3.65E+08,1.710000e+01,2.79E-01
1.78E+08,2.000000e+01,1.20E+00
1.78E+08,2.220000e+01,2.22E+00
1.78E+08,2.000000e+01
1.78E+08,1.870000e+01,1.50E+00
1.78E+08,2.420000e+01,1.21E+00
1.78E+08,2.080000e+01,1.70E+00
1.60E+08,2.300000e+01
1.60E+08,2.210000e+01,3.30E+00
8.60E+07,3.480000e+01,3.00E+00
8.00E+07,1.900000e+01
8.00E+07,1.200000e+01
7.38E+07,1.460000e+01,1.59E+00
3.80E+07,1.300000e+01,4.55E+00
3.80E+07,1.530000e+01,5.37E+00
