#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-04-30T17:17:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5cc882f2827b	
#INFO	-out.max=9999	
#INFO	queryParameters=9	
#-oc.form=dec
#-out.max=9999
#-order=I
#-out.src=V/19/data,V/19/clusters
#-nav=cat:V/19&tab:{V/19/data}&tab:{V/19/clusters}&key:source=5019&HTTPPRM:&&-ref=VIZ5cc882f2827b&-out.max=9999&-out.form=HTML Table&-oc.form=sexa&-order=I&Cl=61&-out=log.Teff&-out=logL&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/19/data,V/19/clusters
#-source=V/19/data V/19/clusters
#Cl=61
#-out=log.Teff
#-out=logL
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_5019
#Name: V/19
#Title: Masses and Ages of Stars in 68 Open Clusters (Piskunov 1980)
#Table	V_19_data:
#Name: V/19/data
#Title: Data for individual stars
#Column	log.Teff	(F6.3)	Logarithm of effective temperature	[ucd=phys.temperature.effective]
#Column	logL	(F5.2)	Logarithm of luminosity	[ucd=phys.luminosity]
log.Teff;logL
[K];[solLum]
------;-----
 3.896; 1.82
 3.692; 1.84
 3.694; 1.79
 3.698; 1.75
 3.956; 1.51
 3.869; 1.39
 3.873; 1.32
 3.900; 1.27
 3.900; 1.27
 3.900; 1.27
 3.905; 1.27
 3.905; 1.27
 3.905; 1.27
 3.877; 1.17
 3.865; 1.02
 3.865; 1.02
 3.865; 1.02
 3.865; 0.99
 3.844; 0.95
 3.844; 0.95
 3.844; 0.95
 3.858; 0.94
 3.850; 0.92
 3.850; 0.92
 3.850; 0.92
 3.844; 0.89
 3.844; 0.89
 3.844; 0.89
 3.844; 0.82
 3.837; 0.77
 3.800; 0.72
 3.819; 0.66
 3.809; 0.58
 3.784; 0.56
 3.816; 0.54
 3.777; 0.45
 3.777; 0.45
 3.777; 0.45
 3.803; 0.42
 3.806; 0.40
 3.777; 0.41
 3.777; 0.41
 3.777; 0.41
 3.791; 0.38
 3.782; 0.23
 3.782; 0.21
 3.750; 0.20
 3.750; 0.20
 3.750; 0.20
 3.768; 0.16
 3.782; 0.09
 3.768; 0.09
 3.766; 0.07
 3.837; 0.02
 3.761; 0.04
 3.761;-0.01
 3.759;-0.01
 3.755;-0.03
 3.730;-0.09
 3.741;-0.15
 3.714;-0.14
 3.736;-0.23
 3.748;-0.24
 3.714;-0.31
 3.800;-0.38
 3.705;-0.30
 3.716;-0.32
 3.691;-0.30
 3.714;-0.35
 3.711;-0.37
 3.707;-0.37
 3.711;-0.48
 3.705;-0.48
 3.693;-0.51
 3.844;-0.69
 3.757;-0.66
 3.698;-0.59
 3.664;-0.63
 3.652;-0.61
 3.652;-0.61
 3.652;-0.61
 3.759;-0.87
 3.670;-0.77
 3.639;-0.69
 3.639;-0.69
 3.639;-0.69
 3.623;-0.70
 3.652;-0.81
 3.652;-0.81
 3.652;-0.81
 3.606;-0.64
 3.601;-0.69
 3.641;-0.86
 3.641;-0.86
 3.641;-0.86
 3.609;-0.81
 3.716;-1.12
 3.627;-0.93
 3.607;-0.86
 3.720;-1.17
 3.718;-1.26
 3.607;-1.05
 3.589;-0.97
 3.581;-0.95
 3.714;-1.43
 3.315; 0.62
 3.572;-1.03
 3.578;-1.07
 3.569;-1.08
 3.659;-1.49
 3.564;-1.06
 3.564;-1.07
 3.618;-1.42
 3.618;-1.42
 3.618;-1.42
 3.594;-1.33
 3.569;-1.18
 3.564;-1.17
 3.558;-1.18
 3.550;-1.22
 3.575;-1.40
 3.478;-0.80
 3.547;-1.30
 3.215; 0.61
 3.648;-1.96
 3.645;-1.98
 3.668;-2.05
 3.487;-1.10
 3.841;-2.40
 3.532;-1.56
 3.556;-1.73
 4.075;-2.20
 4.010;-2.37
 3.664;-2.32
 3.620;-2.19
 3.620;-2.19
 3.620;-2.19
 3.589;-2.05
 4.000;-2.43
 3.535;-1.78
 3.650;-2.42
 3.055; 1.06
 3.515;-1.71
 3.515;-1.75
 3.586;-2.26
 3.538;-1.95
 3.532;-1.95
 3.535;-1.97
 3.547;-2.07
 3.620;-2.54
 3.620;-2.54
 3.620;-2.54
 3.641;-2.62
 3.670;-2.71
 3.526;-2.03
 3.592;-2.47
 3.700;-2.82
 3.723;-2.87
 3.589;-2.47
 3.607;-2.57
 3.607;-2.57
 3.607;-2.57
 3.435;-1.40
 3.625;-2.66
 3.521;-2.06
 3.695;-2.89
 3.512;-2.05
 3.535;-2.23
 3.686;-2.94
 3.666;-2.90
 3.586;-2.59
 3.547;-2.36
 2.815; 2.01
 3.618;-2.81
 3.618;-2.81
 3.618;-2.81
 3.064; 0.58
 3.509;-2.18
 3.550;-2.49
 2.976; 1.03
 3.465;-1.87
 3.782;-3.22
 3.768;-3.23
 3.500;-2.19
 3.476;-2.01
 3.436;-1.71
 3.518;-2.34
 3.782;-3.29
 3.575;-2.76
 3.521;-2.47
 2.948; 1.02
 3.521;-2.57
 3.618;-3.29
 3.387;-1.69
 3.387;-1.69
 3.411;-1.92
 3.425;-2.03
 3.594;-3.41
 3.594;-3.41
 3.594;-3.41
 3.586;-3.58
 3.586;-3.58
 3.586;-3.58
