T,L
6.426877173170193601e+03,2.630267991895381329e+03
6.426877173170193601e+03,2.630267991895381329e+03
6.426877173170193601e+03,2.630267991895381329e+03
5.847900841444806247e+03,2.454708915685031116e+03
5.847900841444806247e+03,2.454708915685031116e+03
5.847900841444806247e+03,2.454708915685031116e+03
1.412537544622755377e+04,1.047128548050899553e+03
1.468926277643866160e+04,7.943282347242812875e+02
1.468926277643866160e+04,7.943282347242812875e+02
1.468926277643866160e+04,7.943282347242812875e+02
1.468926277643866160e+04,4.897788193684461362e+02
1.524052753797290643e+04,5.128613839913648462e+02
1.358313446587154249e+04,3.548133892335753217e+02
1.778279410038922651e+04,6.309573444801930009e+02
1.358313446587154249e+04,2.951209226666387053e+02
1.468926277643866160e+04,3.388441561392023686e+02
1.412537544622755377e+04,2.884031503126605571e+02
1.358313446587154249e+04,2.344228815319922603e+02
1.309181922999406925e+04,2.137962089502232459e+02
1.358313446587154249e+04,2.238721138568340052e+02
1.468926277643866160e+04,2.691534803926916766e+02
1.309181922999406925e+04,1.862087136662867408e+02
1.309181922999406925e+04,1.819700858609982674e+02
1.188502227437018882e+04,1.445439770745927888e+02
1.188502227437018882e+04,1.318256738556407299e+02
1.153453257821093030e+04,1.230268770812381121e+02
1.412537544622755377e+04,1.819700858609982674e+02
1.309181922999406925e+04,1.513561248436208757e+02
1.188502227437018882e+04,1.230268770812381121e+02
1.122018454301962993e+04,1.096478196143185073e+02
1.358313446587154249e+04,1.513561248436208757e+02
1.122018454301962993e+04,1.000000000000000000e+02
1.358313446587154249e+04,1.348962882591653170e+02
1.188502227437018882e+04,1.000000000000000000e+02
1.047128548050898462e+04,7.413102413009177383e+01
1.188502227437018882e+04,9.120108393559097237e+01
1.188502227437018882e+04,8.317637711026708303e+01
1.258925411794166212e+04,9.120108393559097237e+01
1.122018454301962993e+04,6.918309709189365719e+01
1.023292992280753606e+04,5.370317963702527209e+01
1.071519305237607114e+04,5.754399373371569482e+01
1.023292992280753606e+04,4.677351412871981040e+01
1.096478196143185050e+04,4.466835921509630225e+01
1.047128548050898462e+04,4.073802778041127937e+01
1.047128548050898462e+04,3.981071705534973404e+01
1.047128548050898462e+04,3.890451449942806761e+01
9.862794856312109914e+03,3.467368504525316553e+01
9.440608762859235867e+03,3.162277660168379256e+01
9.727472237769650746e+03,3.235936569296282528e+01
9.727472237769650746e+03,3.162277660168379256e+01
1.023292992280753606e+04,3.019951720402016093e+01
9.862794856312109914e+03,2.630267991895381385e+01
1.000000000000000000e+04,2.630267991895381385e+01
9.571940712948440705e+03,2.511886431509579509e+01
1.023292992280753606e+04,2.691534803926915487e+01
9.862794856312109914e+03,2.454708915685029780e+01
9.727472237769650746e+03,2.344228815319922532e+01
9.246981739382230444e+03,2.187761623949553069e+01
9.727472237769650746e+03,2.290867652767773421e+01
9.727472237769650746e+03,2.187761623949553069e+01
9.727472237769650746e+03,2.041737944669529625e+01
8.452788451602898931e+03,1.737800828749375270e+01
9.862794856312109914e+03,2.041737944669529625e+01
9.862794856312109914e+03,2.041737944669529625e+01
1.000000000000000000e+04,1.995262314968879735e+01
8.452788451602898931e+03,1.513561248436207940e+01
1.000000000000000000e+04,1.819700858609983385e+01
9.440608762859235867e+03,1.698243652461744446e+01
9.571940712948440705e+03,1.698243652461744446e+01
8.629785477669702232e+03,1.288249551693134265e+01
9.440608762859235867e+03,1.318256738556407370e+01
8.203515443298185346e+03,1.047128548050899610e+01
5.533501092157365747e+03,7.762471166286919697e+02
5.533501092157365747e+03,7.762471166286919697e+02
5.533501092157365747e+03,7.762471166286919697e+02
4.216965034285822185e+03,1.949844599758045547e+02
4.216965034285822185e+03,1.949844599758045547e+02
4.216965034285822185e+03,1.949844599758045547e+02
2.754228703338166270e+03,2.630267991895381329e+03
3.872576449216172932e+03,1.862087136662867408e+02
5.902010801718442053e+03,5.248074602497725749e+01
4.698941086052155697e+03,5.370317963702527209e+01
7.726805850957020994e+03,3.388441561392025392e+01
4.570881896148751366e+03,4.897788193684461078e+01
4.570881896148751366e+03,4.897788193684461078e+01
4.570881896148751366e+03,4.897788193684461078e+01
4.365158322401661280e+03,4.897788193684461078e+01
4.365158322401661280e+03,4.897788193684461078e+01
4.365158322401661280e+03,4.897788193684461078e+01
4.102041029866068129e+03,5.888436553555889930e+01
4.549880601500484772e+03,4.073802778041127937e+01
4.549880601500484772e+03,4.073802778041127937e+01
4.549880601500484772e+03,4.073802778041127937e+01
4.655860935229590723e+03,3.630780547701014171e+01
4.655860935229590723e+03,3.630780547701014171e+01
4.655860935229590723e+03,3.630780547701014171e+01
4.698941086052155697e+03,3.548133892335754780e+01
4.365158322401661280e+03,4.265795188015925277e+01
4.365158322401661280e+03,4.265795188015925277e+01
4.365158322401661280e+03,4.265795188015925277e+01
4.487453899331322646e+03,3.630780547701014171e+01
4.487453899331322646e+03,3.630780547701014171e+01
4.487453899331322646e+03,3.630780547701014171e+01
4.591980128368685655e+03,2.951209226666385632e+01
4.591980128368685655e+03,2.951209226666385632e+01
4.591980128368685655e+03,2.951209226666385632e+01
4.720630412635904577e+03,2.691534803926915487e+01
3.749730022454833943e+03,6.606934480075960892e+01
4.466835921509630680e+03,2.454708915685029780e+01
4.466835921509630680e+03,2.454708915685029780e+01
4.466835921509630680e+03,2.454708915685029780e+01
4.613175745603795804e+03,2.238721138568340052e+01
4.613175745603795804e+03,2.238721138568340052e+01
4.613175745603795804e+03,2.238721138568340052e+01
4.897788193684461476e+03,1.949844599758045405e+01
5.035006087879047300e+03,1.659586907437560654e+01
4.405548635065534654e+03,1.949844599758045405e+01
5.520774392807573349e+03,1.230268770812381796e+01
5.888436553555889986e+03,1.122018454301963608e+01
6.151768727098683485e+03,1.071519305237606545e+01
4.677351412871980756e+03,1.479108388168207178e+01
4.677351412871980756e+03,1.479108388168207178e+01
4.677351412871980756e+03,1.479108388168207178e+01
6.441692655151775398e+03,1.000000000000000000e+01
4.786300923226384839e+03,1.318256738556407370e+01
6.776415076106750348e+03,8.912509381337454073e+00
5.081594425605604556e+03,1.096478196143185180e+01
4.698941086052155697e+03,1.202264434617413080e+01
4.698941086052155697e+03,1.202264434617413080e+01
4.698941086052155697e+03,1.202264434617413080e+01
5.105049999754064629e+03,1.000000000000000000e+01
5.116818355403078385e+03,9.772372209558106704e+00
6.180164001384157928e+03,8.128305161640993148e+00
4.852885001621209994e+03,1.047128548050899610e+01
5.834451042737448006e+03,8.128305161640993148e+00
5.128613839913648007e+03,8.317637711026710789e+00
4.742419852602448373e+03,9.332543007969910320e+00
4.742419852602448373e+03,9.332543007969910320e+00
4.742419852602448373e+03,9.332543007969910320e+00
5.834451042737448006e+03,6.606934480075959293e+00
6.683439175686148701e+03,6.165950018614822170e+00
6.683439175686148701e+03,6.165950018614822170e+00
6.683439175686148701e+03,6.165950018614822170e+00
6.729766562843175052e+03,6.165950018614822170e+00
6.729766562843175052e+03,6.165950018614822170e+00
6.729766562843175052e+03,6.165950018614822170e+00
5.559042572704037411e+03,6.760829753919817442e+00
6.546361740672747146e+03,6.025595860743577781e+00
6.546361740672747146e+03,6.025595860743577781e+00
6.546361740672747146e+03,6.025595860743577781e+00
4.677351412871980756e+03,8.709635899560804972e+00
4.677351412871980756e+03,8.709635899560804972e+00
4.677351412871980756e+03,8.709635899560804972e+00
4.897788193684461476e+03,7.762471166286917246e+00
5.888436553555889986e+03,5.623413251903491172e+00
4.852885001621209994e+03,7.244359600749900707e+00
5.188000389289609302e+03,6.025595860743577781e+00
4.830588020397728542e+03,6.760829753919817442e+00
5.623413251903491073e+03,5.128613839913648498e+00
6.309573444801930236e+03,4.677351412871982639e+00
6.729766562843175052e+03,4.466835921509631824e+00
4.931738039549359200e+03,5.754399373371569482e+00
4.549880601500484772e+03,6.760829753919817442e+00
6.151768727098683485e+03,4.365158322401660129e+00
5.321082592667941753e+03,4.897788193684461611e+00
5.956621435290103364e+03,4.466835921509631824e+00
7.943282347242813557e+03,4.168693834703353751e+00
4.742419852602448373e+03,5.888436553555889574e+00
4.742419852602448373e+03,5.888436553555889574e+00
4.742419852602448373e+03,5.888436553555889574e+00
4.698941086052155697e+03,5.623413251903491172e+00
4.698941086052155697e+03,5.623413251903491172e+00
4.698941086052155697e+03,5.623413251903491172e+00
5.807644175213117705e+03,4.073802778041127226e+00
4.977370849789360364e+03,4.677351412871982639e+00
4.864072056914614222e+03,4.897788193684461611e+00
6.151768727098683485e+03,3.715352290971725147e+00
4.764309868054156141e+03,5.011872336272721995e+00
4.764309868054156141e+03,5.011872336272721995e+00
4.764309868054156141e+03,5.011872336272721995e+00
5.807644175213117705e+03,3.715352290971725147e+00
6.180164001384157928e+03,3.548133892335755046e+00
6.180164001384157928e+03,3.548133892335755046e+00
6.180164001384157928e+03,3.548133892335755046e+00
5.370317963702526868e+03,3.890451449942805784e+00
6.353309318517435713e+03,3.388441561392025569e+00
5.807644175213117705e+03,3.467368504525316641e+00
4.897788193684461476e+03,4.365158322401660129e+00
5.649369748123022873e+03,3.467368504525316641e+00
4.764309868054156141e+03,4.466835921509631824e+00
4.764309868054156141e+03,4.466835921509631824e+00
4.764309868054156141e+03,4.466835921509631824e+00
5.956621435290103364e+03,3.162277660168379523e+00
5.035006087879047300e+03,3.801893963205611460e+00
6.683439175686148701e+03,3.019951720402016093e+00
6.546361740672747146e+03,3.019951720402016093e+00
5.623413251903491073e+03,3.162277660168379523e+00
7.030723198838333701e+03,2.884031503126605944e+00
5.688529308438412954e+03,2.951209226666385632e+00
5.888436553555889986e+03,2.884031503126605944e+00
5.888436553555889986e+03,2.818382931264453717e+00
6.546361740672747146e+03,2.630267991895381741e+00
5.929253245799999604e+03,2.754228703338166273e+00
5.688529308438412954e+03,2.754228703338166273e+00
5.984115950603199053e+03,2.630267991895381741e+00
5.984115950603199053e+03,2.630267991895381741e+00
5.984115950603199053e+03,2.630267991895381741e+00
5.069907082747044115e+03,3.090295432513590512e+00
5.807644175213117705e+03,2.630267991895381741e+00
5.649369748123022873e+03,2.691534803926915576e+00
5.649369748123022873e+03,2.691534803926915576e+00
6.237348354824191119e+03,2.511886431509580131e+00
5.929253245799999604e+03,2.570395782768863491e+00
5.929253245799999604e+03,2.570395782768863491e+00
5.929253245799999604e+03,2.570395782768863491e+00
5.767664633922508983e+03,2.630267991895381741e+00
5.834451042737448006e+03,2.570395782768863491e+00
5.807644175213117705e+03,2.570395782768863491e+00
5.597576014951104298e+03,2.630267991895381741e+00
5.984115950603199053e+03,2.454708915685030579e+00
5.984115950603199053e+03,2.454708915685030579e+00
5.984115950603199053e+03,2.454708915685030579e+00
5.714786366718672070e+03,2.511886431509580131e+00
5.714786366718672070e+03,2.511886431509580131e+00
5.767664633922508983e+03,2.454708915685030579e+00
5.834451042737448006e+03,2.454708915685030579e+00
6.309573444801930236e+03,2.344228815319921999e+00
5.984115950603199053e+03,2.398832919019490362e+00
5.984115950603199053e+03,2.398832919019490362e+00
5.984115950603199053e+03,2.398832919019490362e+00
5.956621435290103364e+03,2.344228815319921999e+00
5.956621435290103364e+03,2.344228815319921999e+00
5.956621435290103364e+03,2.344228815319921999e+00
5.929253245799999604e+03,2.344228815319921999e+00
5.929253245799999604e+03,2.344228815319921999e+00
5.929253245799999604e+03,2.344228815319921999e+00
5.929253245799999604e+03,2.344228815319921999e+00
5.929253245799999604e+03,2.344228815319921999e+00
5.929253245799999604e+03,2.344228815319921999e+00
5.741164622073274586e+03,2.398832919019490362e+00
6.397348354826482137e+03,2.238721138568339430e+00
5.834451042737448006e+03,2.344228815319921999e+00
5.834451042737448006e+03,2.344228815319921999e+00
5.834451042737448006e+03,2.344228815319921999e+00
5.767664633922508983e+03,2.344228815319921999e+00
5.888436553555889986e+03,2.290867652767773155e+00
5.888436553555889986e+03,2.290867652767773155e+00
5.888436553555889986e+03,2.290867652767773155e+00
5.688529308438412954e+03,2.344228815319921999e+00
5.834451042737448006e+03,2.290867652767773155e+00
5.834451042737448006e+03,2.290867652767773155e+00
5.834451042737448006e+03,2.290867652767773155e+00
5.482769649208536066e+03,2.454708915685030579e+00
6.353309318517435713e+03,2.187761623949552536e+00
6.280583588133179546e+03,2.187761623949552536e+00
5.807644175213117705e+03,2.290867652767773155e+00
5.807644175213117705e+03,2.290867652767773155e+00
5.807644175213117705e+03,2.290867652767773155e+00
5.861381645140284490e+03,2.238721138568339430e+00
5.861381645140284490e+03,2.238721138568339430e+00
5.861381645140284490e+03,2.238721138568339430e+00
5.199959965335162451e+03,2.570395782768863491e+00
5.861381645140284490e+03,2.187761623949552536e+00
5.861381645140284490e+03,2.187761623949552536e+00
5.861381645140284490e+03,2.187761623949552536e+00
5.834451042737448006e+03,2.187761623949552536e+00
5.834451042737448006e+03,2.187761623949552536e+00
5.834451042737448006e+03,2.187761623949552536e+00
6.208690342300637894e+03,2.089296130854039646e+00
5.984115950603199053e+03,2.137962089502232210e+00
5.888436553555889986e+03,2.137962089502232210e+00
5.888436553555889986e+03,2.137962089502232210e+00
5.888436553555889986e+03,2.137962089502232210e+00
6.208690342300637894e+03,2.041737944669529181e+00
6.109420249055720888e+03,2.041737944669529181e+00
5.984115950603199053e+03,2.089296130854039646e+00
5.807644175213117705e+03,2.089296130854039646e+00
5.807644175213117705e+03,2.089296130854039646e+00
5.807644175213117705e+03,2.089296130854039646e+00
5.861381645140284490e+03,2.089296130854039646e+00
5.861381645140284490e+03,2.089296130854039646e+00
5.861381645140284490e+03,2.089296130854039646e+00
6.353309318517435713e+03,1.949844599758045138e+00
5.929253245799999604e+03,2.041737944669529181e+00
6.025595860743575031e+03,1.995262314968879513e+00
5.767664633922508983e+03,2.041737944669529181e+00
5.767664633922508983e+03,2.041737944669529181e+00
5.767664633922508983e+03,2.041737944669529181e+00
6.776415076106750348e+03,1.862087136662867515e+00
6.109420249055720888e+03,1.905460717963247230e+00
6.237348354824191119e+03,1.905460717963247230e+00
6.180164001384157928e+03,1.862087136662867515e+00
6.397348354826482137e+03,1.819700858609983429e+00
5.482769649208536066e+03,1.949844599758045138e+00
5.861381645140284490e+03,1.862087136662867515e+00
5.888436553555889986e+03,1.778279410038922759e+00
5.888436553555889986e+03,1.737800828749375359e+00
6.025595860743575031e+03,1.737800828749375359e+00
5.834451042737448006e+03,1.698243652461744357e+00
5.834451042737448006e+03,1.659586907437560654e+00
9.183325964835810737e+03,1.737800828749375359e+00
