#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-04-29T22:56:20 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5cc604a26b63	
#INFO	-out.max=unlimited	
#INFO	queryParameters=7	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:V/19&tab:{V/19/data}&key:source=V/19/data&HTTPPRM:&&-ref=VIZ5cc604a26b63&-file=.&-oc.form=sexa&-order=I&-out.form=verb&-out=Cl&-out=N&-out=ID&-out=B-V&-out=Vmag&-out=LC&-out=log.Teff&-out=logL&-out=Age&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&
#-source=V/19/data
#-order=I
#-out=log.Teff
#-out=logL
#

#RESOURCE=yCat_5019
#Name: V/19
#Title: Masses and Ages of Stars in 68 Open Clusters (Piskunov 1980)
#Table	V_19_data:
#Name: V/19/data
#Title: Data for individual stars
#Column	log.Teff	(F6.3)	Logarithm of effective temperature	[ucd=phys.temperature.effective]
#Column	logL	(F5.2)	Logarithm of luminosity	[ucd=phys.luminosity]
log.Teff;logL
[K];[solLum]
------;-----
 3.808; 3.42
 3.808; 3.42
 3.808; 3.42
 3.767; 3.39
 3.767; 3.39
 3.767; 3.39
 4.150; 3.02
 4.167; 2.90
 4.167; 2.90
 4.167; 2.90
 4.167; 2.69
 4.183; 2.71
 4.133; 2.55
 4.250; 2.80
 4.133; 2.47
 4.167; 2.53
 4.150; 2.46
 4.133; 2.37
 4.117; 2.33
 4.133; 2.35
 4.167; 2.43
 4.117; 2.27
 4.117; 2.26
 4.075; 2.16
 4.075; 2.12
 4.062; 2.09
 4.150; 2.26
 4.117; 2.18
 4.075; 2.09
 4.050; 2.04
 4.133; 2.18
 4.050; 2.00
 4.133; 2.13
 4.075; 2.00
 4.020; 1.87
 4.075; 1.96
 4.075; 1.92
 4.100; 1.96
 4.050; 1.84
 4.010; 1.73
 4.030; 1.76
 4.010; 1.67
 4.040; 1.65
 4.020; 1.61
 4.020; 1.60
 4.020; 1.59
 3.994; 1.54
 3.975; 1.50
 3.988; 1.51
 3.988; 1.50
 4.010; 1.48
 3.994; 1.42
 4.000; 1.42
 3.981; 1.40
 4.010; 1.43
 3.994; 1.39
 3.988; 1.37
 3.966; 1.34
 3.988; 1.36
 3.988; 1.34
 3.988; 1.31
 3.927; 1.24
 3.994; 1.31
 3.994; 1.31
 4.000; 1.30
 3.927; 1.18
 4.000; 1.26
 3.975; 1.23
 3.981; 1.23
 3.936; 1.11
 3.975; 1.12
 3.914; 1.02
 3.743; 2.89
 3.743; 2.89
 3.743; 2.89
 3.625; 2.29
 3.625; 2.29
 3.625; 2.29
 3.440; 3.42
 3.588; 2.27
 3.771; 1.72
 3.672; 1.73
 3.888; 1.53
 3.660; 1.69
 3.660; 1.69
 3.660; 1.69
 3.640; 1.69
 3.640; 1.69
 3.640; 1.69
 3.613; 1.77
 3.658; 1.61
 3.658; 1.61
 3.658; 1.61
 3.668; 1.56
 3.668; 1.56
 3.668; 1.56
 3.672; 1.55
 3.640; 1.63
 3.640; 1.63
 3.640; 1.63
 3.652; 1.56
 3.652; 1.56
 3.652; 1.56
 3.662; 1.47
 3.662; 1.47
 3.662; 1.47
 3.674; 1.43
 3.574; 1.82
 3.650; 1.39
 3.650; 1.39
 3.650; 1.39
 3.664; 1.35
 3.664; 1.35
 3.664; 1.35
 3.690; 1.29
 3.702; 1.22
 3.644; 1.29
 3.742; 1.09
 3.770; 1.05
 3.789; 1.03
 3.670; 1.17
 3.670; 1.17
 3.670; 1.17
 3.809; 1.00
 3.680; 1.12
 3.831; 0.95
 3.706; 1.04
 3.672; 1.08
 3.672; 1.08
 3.672; 1.08
 3.708; 1.00
 3.709; 0.99
 3.791; 0.91
 3.686; 1.02
 3.766; 0.91
 3.710; 0.92
 3.676; 0.97
 3.676; 0.97
 3.676; 0.97
 3.766; 0.82
 3.825; 0.79
 3.825; 0.79
 3.825; 0.79
 3.828; 0.79
 3.828; 0.79
 3.828; 0.79
 3.745; 0.83
 3.816; 0.78
 3.816; 0.78
 3.816; 0.78
 3.670; 0.94
 3.670; 0.94
 3.670; 0.94
 3.690; 0.89
 3.770; 0.75
 3.686; 0.86
 3.715; 0.78
 3.684; 0.83
 3.750; 0.71
 3.800; 0.67
 3.828; 0.65
 3.693; 0.76
 3.658; 0.83
 3.789; 0.64
 3.726; 0.69
 3.775; 0.65
 3.900; 0.62
 3.676; 0.77
 3.676; 0.77
 3.676; 0.77
 3.672; 0.75
 3.672; 0.75
 3.672; 0.75
 3.764; 0.61
 3.697; 0.67
 3.687; 0.69
 3.789; 0.57
 3.678; 0.70
 3.678; 0.70
 3.678; 0.70
 3.764; 0.57
 3.791; 0.55
 3.791; 0.55
 3.791; 0.55
 3.730; 0.59
 3.803; 0.53
 3.764; 0.54
 3.690; 0.64
 3.752; 0.54
 3.678; 0.65
 3.678; 0.65
 3.678; 0.65
 3.775; 0.50
 3.702; 0.58
 3.825; 0.48
 3.816; 0.48
 3.750; 0.50
 3.847; 0.46
 3.755; 0.47
 3.770; 0.46
 3.770; 0.45
 3.816; 0.42
 3.773; 0.44
 3.755; 0.44
 3.777; 0.42
 3.777; 0.42
 3.777; 0.42
 3.705; 0.49
