ci,lum,absmag,spect
0.294,22.14114112091263,1.487,d
0.38,18.897310544316767,1.659,d
0.554,0.00017831997722329162,14.222,d
0.170,0.0022100393173491817,11.489,d
-0.056,0.004738053933388251,10.661,d
0.025,0.002537464645864962,11.339,d
-0.098,0.003235936569296281,11.075,d
0.020,149968.4835502374,-8.090,d
-0.072,0.002195836500973188,11.496,d
0.196,0.00046472924167620307,13.182,d
0.026,0.003133285724315586,11.110,d
-0.165,0.005948397740692213,10.414,d
0.160,0.0012508349283740653,12.107,d
0.070,0.001278792262935846,12.083,d
-0.199,0.004184080195674278,10.796,d
-0.011,0.004961351535855687,10.611,d
0.46,0.00016888846947909152,14.281,d
0.78,0.4724980276801949,5.664,d
0.42,0.00019089739411235043,14.148,d
0.58,0.00014736691770366877,14.429,d
1.57,0.0005243243172456373,13.051,d
1.66,0.0010864256236170645,12.260,d
0.72,0.0001240509230042225,14.616,d
0.45,0.0003493011375635537,13.492,d
1.53,0.00519039010197082,10.562,d
0.02,0.0010844261957670734,12.262,d
0.62,0.00013219042534417234,14.547,d
0.35,0.0003742829122408052,13.417,d
1.57,0.004751163763775616,10.658,d
0.31,0.0010365732567670042,12.311,d
1.70,0.0006462491724953874,12.824,d
1.66,0.0013589391171008015,12.017,d
0.12,0.0006344537957757143,12.844,d
1.38,0.05607896633745097,7.978,d
1.68,0.0010864256236170645,12.260,d
0.40,0.000312751931140798,13.612,d
1.39,0.003571083458083453,10.968,d
0.35,0.0009611695415159293,12.393,d
1.85,0.00005633781508509371,15.473,d
0.44,0.0003915615148396113,13.368,d
1.80,0.00021301000374112503,14.029,d
1.49,0.02199885109049248,8.994,d
0.33,0.0003865449465982836,13.382,d
0.23,0.0006570523909635526,12.806,d
0.72,0.00011127561417305196,14.734,d
0.75,0.00010365732567670041,14.811,d
1.60,0.0009808441360309053,12.371,d
0.44,0.00023035625001175352,13.944,d
0.36,0.00023485510240588806,13.923,d
0.93,0.00006892868607318448,15.254,d
1.58,0.002383416820673152,11.407,d
1.40,0.05480245321768502,8.003,d
1.56,0.002441181106054887,11.381,d
0.23,0.0010995120668793497,12.247,d
0.52,0.00013243415351946644,14.545,d
0.80,0.0000807606861328975,15.082,d
1.42,0.021359938601897947,9.026,d
0.31,0.00023056851369472863,13.943,d
1.70,0.0006058986711389647,12.894,d
1.47,0.0049158655915686154,10.621,d
1.49,0.004066305463404283,10.827,d
0.69,0.00012156260552373785,14.638,d
0.03,0.003448259965526229,11.006,d
1.67,0.0007543970821979888,12.656,d
1.7,0.0005571857489319299,12.985,d
0.52,0.00010375284158180116,14.810,d
1.49,0.013304544179780914,9.540,d
1.40,0.004528975799036199,10.710,d
1.10,0.00006748387308707573,15.277,d
1.49,0.0083176377110267,10.050,d
0.31,0.0002797692637854649,13.733,d
0.65,0.00013280058862437293,14.542,d
0.33,0.0002447935666196066,13.878,d
0.74,0.00016703212258150417,14.293,d
0.42,0.00023988329190194875,13.900,d
1.50,0.012439416235583077,9.613,d
