logT,Mbol
3.680,-6.680
4.000,-7.200
4.300,-9.090
4.300,-9.110
4.050,-7.710
3.940,-6.770
3.525,-7.430
3.550,-6.950
4.375,-7.990
3.550,-6.890
4.370,-7.240
3.550,-6.660
4.430,-7.580
4.340,-7.340
4.627,-8.770
4.340,-7.040
4.340,-7.010
4.355,-6.810
4.370,-7.280
3.477,-7.210
4.440,-7.340
3.510,-7.060
4.360,-6.880
4.372,-7.310
4.370,-6.860
4.370,-7.470
4.370,-6.440
4.355,-6.740
4.355,-6.570
4.360,-6.730
4.405,-6.500
4.420,-7.170
4.368,-6.490
4.450,-7.500
4.372,-6.810
4.405,-6.670
4.350,-6.450
4.340,-6.290
4.300,-6.340
4.371,-6.780
4.375,-6.460
4.372,-6.560
4.440,-6.600
4.372,-6.880
4.358,-6.150
4.360,-6.320
4.387,-6.710
4.361,-6.350
4.396,-6.550
4.345,-5.870
4.397,-6.690
4.502,-7.890
4.414,-6.710
4.326,-6.320
4.372,-6.460
4.372,-7.130
4.484,-7.290
4.359,-5.830
4.552,-7.310
4.469,-6.950
4.444,-6.650
4.355,-6.120
4.405,-6.400
4.357,-6.080
4.360,-6.070
4.411,-5.930
4.418,-6.220
4.322,-5.780
4.339,-5.840
4.485,-6.670
4.328,-5.720
4.425,-6.300
4.355,-5.770
4.400,-6.140
4.220,-5.480
4.395,-6.270
4.267,-5.080
4.295,-5.610
4.271,-5.180
4.321,-5.100
4.358,-5.900
4.359,-5.670
4.318,-5.030
4.405,-6.090
4.350,-5.670
4.357,-5.860
4.405,-6.320
4.357,-5.140
4.349,-5.380
4.366,-6.080
4.360,-5.720
4.351,-6.060
4.396,-5.750
4.314,-5.310
4.397,-5.940
4.330,-5.530
4.365,-5.840
4.251,-5.150
4.340,-5.050
4.350,-5.450
4.468,-6.590
4.355,-5.520
4.347,-5.480
4.368,-5.480
4.349,-5.340
4.300,-4.890
4.324,-4.580
4.326,-4.980
4.360,-5.470
4.389,-5.540
4.579,-6.610
4.307,-4.720
4.320,-5.010
4.385,-5.950
4.343,-4.860
4.334,-5.400
4.330,-5.150
4.561,-6.900
4.396,-5.880
4.332,-5.080
4.363,-5.020
4.350,-5.120
4.286,-4.130
4.264,-4.510
4.271,-4.470
4.300,-4.850
4.294,-4.850
4.311,-4.590
4.319,-5.030
4.345,-4.920
4.273,-4.370
4.370,-5.420
4.280,-4.050
4.355,-4.640
4.300,-4.710
4.368,-4.910
4.405,-5.430
4.347,-4.790
4.330,-4.750
4.321,-4.700
4.314,-5.030
4.347,-5.220
4.357,-5.310
4.297,-4.380
4.316,-4.510
4.380,-5.030
4.299,-4.880
4.300,-4.770
4.294,-4.940
4.218,-3.650
4.285,-4.330
4.269,-3.740
4.295,-4.680
4.311,-4.180
4.300,-4.260
4.324,-4.670
4.300,-4.480
4.270,-3.990
4.362,-5.170
4.293,-4.320
4.293,-4.130
4.287,-4.170
4.300,-4.510
4.300,-4.510
4.355,-4.810
4.351,-4.680
4.310,-4.150
4.271,-3.650
4.290,-4.190
4.313,-4.540
4.313,-4.520
4.335,-4.410
4.277,-4.290
4.314,-4.040
4.292,-4.520
4.344,-4.860
4.266,-3.650
4.199,-3.500
4.330,-4.520
4.322,-4.380
4.292,-4.360
4.270,-4.000
4.308,-4.340
4.328,-4.290
4.268,-3.770
4.287,-4.490
4.359,-4.550
4.250,-3.660
4.355,-4.380
4.236,-3.560
4.226,-3.340
4.321,-4.220
4.264,-3.720
4.290,-3.900
4.298,-4.290
4.350,-4.530
4.327,-4.160
4.281,-3.730
4.272,-3.850
4.268,-3.880
4.334,-4.260
4.262,-3.400
4.300,-4.260
4.313,-4.120
4.288,-4.070
4.332,-4.190
4.230,-3.310
4.308,-3.820
4.355,-4.320
4.288,-3.820
4.300,-4.000
4.300,-3.980
4.272,-3.810
4.233,-3.060
4.292,-3.900
4.250,-3.500
4.270,-3.670
4.291,-4.010
4.338,-4.520
4.299,-3.930
4.298,-4.040
4.225,-3.150
4.285,-4.040
4.264,-3.470
4.240,-3.520
4.266,-3.300
4.224,-3.450
4.288,-4.000
4.267,-3.710
4.290,-3.860
4.244,-3.550
4.273,-3.330
4.289,-3.470
4.285,-3.520
4.290,-3.780
4.274,-3.380
4.234,-3.130
4.235,-3.370
4.370,-4.440
4.292,-4.040
4.271,-3.530
4.356,-4.470
4.275,-3.610
4.246,-3.030
4.271,-3.440
4.286,-4.000
4.271,-3.690
4.290,-3.560
4.273,-3.650
4.243,-3.070
4.257,-3.440
4.267,-3.510
4.274,-3.840
4.273,-3.450
4.190,-3.120
4.269,-3.790
4.272,-3.760
